阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局, 车站
勃利, 黑龙江省勃利县城西街站前路84号, √, √, √, 哈尔滨铁路局, 乘降所
博克图, 内蒙古自治区牙克石市博克图镇大直街博克图站, √, √, √, 哈尔滨铁路局, 乘降所
柴河, 黑龙江省海林市柴河镇, √,  ,  , 哈尔滨铁路局, 乘降所
长汀镇, 黑龙江省海林市, √,  ,  , 哈尔滨铁路局, 乘降所
辰清, 黑龙江省黑河市孙吴县辰清镇, √,  ,  , 哈尔滨铁路局, 乘降所
晨明, 黑龙江省伊春市南岔区晨明镇, √, 　, 　, 哈尔滨铁路局, 乘降所
成高子, 黑龙江省哈市香坊区哈成路158号, √, 　, 　, 哈尔滨铁路局, 乘降所
成吉思汗, 内蒙古自治区扎兰屯市成吉思汗镇大汗路成吉思汗车站, √, 　, 　, 哈尔滨铁路局, 乘降所
楚山, 黑龙江省林口县龙爪乡楚山村, √, 　, 　, 哈尔滨铁路局, 乘降所
嵯岗, 内蒙古自治区 呼伦贝尔市新巴尔虎左旗嵯岗镇嵯岗火车站, √,  ,  , 哈尔滨铁路局, 乘降所
大庆, 黑龙江省大庆市萨尔图区中桥路51号, √, √, √, 哈尔滨铁路局, 乘降所
大庆西, 黑龙江省大庆市让湖路区西虹路40号, √, √, √, 哈尔滨铁路局, 乘降所
大兴, 黑龙江省泰来县大兴镇大兴车站, √, 　, 　, 哈尔滨铁路局, 乘降所
大雁, 内蒙古自治区鄂温克旗巴彦镇前卫街大雁站, √, √, √, 哈尔滨铁路局, 乘降所
大杨树, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗大杨树镇, √, √, √, 哈尔滨铁路局, 乘降所
带岭, 黑龙江省伊春市带岭区, √, 　, 　, 哈尔滨铁路局, 乘降所
得耳布尔, 内蒙古呼伦贝尔根河市得耳布尔镇, √, √, √, 哈尔滨铁路局, 乘降所
滴道, 黑龙江省鸡西市滴道区白云委, √, 　, 　, 哈尔滨铁路局, 乘降所
东边井, 黑龙江省绥化市海伦市东风镇, √, 　, 　, 哈尔滨铁路局, 乘降所
东二道河, 黑龙江省抚远市, √, 　, 　, 哈尔滨铁路局, 乘降所
东方红, 黑龙江省东方红镇铁路委, √, √, √, 哈尔滨铁路局, 乘降所
东海, 黑龙江省鸡东县东海镇乡直委, √, 　, 　, 哈尔滨铁路局, 乘降所
东津, 黑龙江省绥化市北林区东津镇, √, 　, 　, 哈尔滨铁路局, 乘降所
东京城, 黑龙江省宁安市东京城镇, √, √, √, 哈尔滨铁路局, 乘降所
东门, 黑龙江省哈尔滨市香坊区铁东街8号, √, 　, 　, 哈尔滨铁路局, 乘降所
对青山, 黑龙江省哈尔滨市松北区对青山镇铁路街, √, 　, 　, 哈尔滨铁路局, 乘降所
二道湾, 黑龙江省富裕县友谊乡二道湾车站, √, 　, 　, 哈尔滨铁路局, 乘降所
二龙山屯, 黑龙江省黑河市五大连池市, √, 　, 　, 哈尔滨铁路局, 乘降所
丰乐镇, 黑龙江省双鸭山市集贤县丰乐镇南侧, √, 　, 　, 哈尔滨铁路局, 乘降所
冯屯, 黑龙江省富裕县塔哈乡冯屯车站, √, 　, 　, 哈尔滨铁路局, 乘降所
福利屯, 黑龙江省双鸭山市集贤县福双路立交桥头南侧, √, √, √, 哈尔滨铁路局, 乘降所
抚远, 黑龙江省抚远市, √,  ,  , 哈尔滨铁路局, 乘降所
富海, 黑龙江省富裕县富海镇富海车站, √, 　, 　, 哈尔滨铁路局, 乘降所
富锦, 黑龙江省富锦市锦绣大街站前路, √, 　, 　, 哈尔滨铁路局, 乘降所
富拉尔基, 黑龙江省齐齐哈尔市富拉尔基区安全路84号, √, √, √, 哈尔滨铁路局, 乘降所
富裕, 黑龙江省富裕县站前街富裕车站, √, √, √, 哈尔滨铁路局, 乘降所
甘河, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗甘河镇, √, √, √, 哈尔滨铁路局, 乘降所
根河, 内蒙古自治区呼伦贝尔盟根河市, √, √, √, 哈尔滨铁路局, 乘降所
沟口, 内蒙古自治区博克图镇沟口村沟口站, √, 　, 　, 哈尔滨铁路局, 乘降所
古城镇, 黑龙江省牡丹江市林口县古城镇, √, 　, 　, 哈尔滨铁路局, 乘降所
古莲, 黑龙江省大兴安岭地区漠河县古莲镇, √, √, √, 哈尔滨铁路局, 乘降所
哈尔滨, 黑龙江省哈尔滨市南岗区铁路街1号, √, √, √, 哈尔滨铁路局, 乘降所
哈尔滨东, 哈尔滨市道外区桦树街1号, √, √, √, 哈尔滨铁路局, 乘降所
哈尔滨西, 黑龙江省哈尔滨市南岗区哈尔滨大街501号, √, 　, √, 哈尔滨铁路局, 乘降所
哈克, 内蒙古自治区呼伦贝尔市海拉尔区哈克镇, √, 　, 　, 哈尔滨铁路局, 乘降所
哈拉苏, 内蒙古自治区扎兰屯市哈拉苏镇哈拉苏车站, √, 　, 　, 哈尔滨铁路局, 乘降所
海北, 黑龙江省绥化市海伦市海北镇, √, 　, 　, 哈尔滨铁路局, 乘降所
海拉尔, 内蒙古自治区呼伦贝尔市海拉尔区靠山街60号, √, √, √, 哈尔滨铁路局, 乘降所
海林, 黑龙江省海林市海林镇, √, √, √, 哈尔滨铁路局, 乘降所
海伦, 黑龙江省绥化市海伦市 海伦镇, √, √, √, 哈尔滨铁路局, 乘降所
寒葱沟, 黑龙江省抚远市, √, 　, 　, 哈尔滨铁路局, 乘降所
浩良河, 黑龙江省伊春市南岔区浩良河镇, √, 　, 　, 哈尔滨铁路局, 乘降所
鹤北, 黑龙江省鹤岗市萝北县鹤北镇, √, 　, 　, 哈尔滨铁路局, 乘降所
鹤岗, 黑龙江省鹤岗市向阳区老站路, √, √, √, 哈尔滨铁路局, 乘降所
鹤立, 黑龙江省佳木斯市汤原县鹤立镇忠诚街, √, 　, 　, 哈尔滨铁路局, 乘降所
黑河, 黑龙江省黑河市, √, √, √, 哈尔滨铁路局, 乘降所
黑台, 黑龙江省密山市黑台镇, √, 　, 　, 哈尔滨铁路局, 乘降所
横道河子, 黑龙江省海林市横道河子镇, √,  ,  , 哈尔滨铁路局, 乘降所
红山, 黑龙江省伊春市, √,  ,  , 哈尔滨铁路局, 乘降所
红兴隆, 黑龙江省双鸭山市友谊县兴隆镇, √, 　, 　, 哈尔滨铁路局, 乘降所
红星, 黑龙江省伊春市红星区团结街林铁委1号, √, 　, 　, 哈尔滨铁路局, 乘降所
红彦, 内蒙古自治区呼伦贝尔盟莫力达瓦达乌尔族自治旗红彦镇, √, 　, 　, 哈尔滨铁路局, 乘降所
洪河, 黑龙江省抚远市, √, 　, 　, 哈尔滨铁路局, 乘降所
呼兰, 黑龙江省哈尔滨市呼兰区, √, √, √, 哈尔滨铁路局, 乘降所
呼源, 黑龙江省大兴安岭地区呼中区呼源镇, √, 　, 　, 哈尔滨铁路局, 乘降所
呼中, 黑龙江省大兴安岭地区呼中区呼中镇, √, 　, 　, 哈尔滨铁路局, 乘降所
虎林, 黑龙江省虎林市虎林镇站前街1号, √, √, √, 哈尔滨铁路局, 乘降所
桦林, 黑龙江省牡丹江市阳明区桦林镇, √, 　, 　, 哈尔滨铁路局, 乘降所
桦南, 黑龙江省佳木斯市桦南县铁西街北段, √, √, √, 哈尔滨铁路局, 乘降所
换新天, 黑龙江农垦总局建三江分局创业农场, √, 　, 　, 哈尔滨铁路局, 乘降所
鸡东, 黑龙江省鸡东县鸡东镇振兴大街100号, √, √, √, 哈尔滨铁路局, 乘降所
鸡西, 黑龙江省鸡西市鸡冠区兴国中路138号, √, √, √, 哈尔滨铁路局, 乘降所
吉文, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗吉文镇, √, 　, 　, 哈尔滨铁路局, 乘降所
加格达奇, 黑龙江省大兴安岭地区加格达奇区, √, √, √, 哈尔滨铁路局, 乘降所
佳木斯, 黑龙江省佳木斯市站前路179号, √, √, √, 哈尔滨铁路局, 乘降所
建三江, 黑龙江农垦总局建三江分局站前路, √, 　, 　, 哈尔滨铁路局, 乘降所
江桥, 黑龙江省泰来县江桥镇江桥车站, √, 　, 　, 哈尔滨铁路局, 乘降所
姜家, 黑龙江省肇东市姜家镇, √, 　, 　, 哈尔滨铁路局, 乘降所
金河, 内蒙古呼伦贝尔根河市金河镇, √, √, √, 哈尔滨铁路局, 乘降所
金山屯, 黑龙江省伊春市金山屯区铁路街, √, 　, 　, 哈尔滨铁路局, 乘降所
锦河, 黑龙江省黑河市锦河农场, √, 　, 　, 哈尔滨铁路局, 乘降所
九三, 黑龙江省嫩江县双山镇九三车站, √, √, √, 哈尔滨铁路局, 乘降所
峻德, 黑龙江省鹤岗市兴安区, √, 　, 　, 哈尔滨铁路局, 乘降所
康金井, 黑龙江省哈尔滨市呼兰区康金镇, √, 　, 　, 哈尔滨铁路局, 乘降所
克东, 黑龙江省齐齐哈尔市克东县宝泉镇, √, 　, 　, 哈尔滨铁路局, 乘降所
克山, 黑龙江省齐齐哈尔市克山县克山镇, √, √, √, 哈尔滨铁路局, 乘降所
克一河, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗克一河镇, √, √, √, 哈尔滨铁路局, 乘降所
库都尔, 内蒙古呼伦贝尔牙克石市库都尔镇, √, 　, 　, 哈尔滨铁路局, 乘降所
奎山, 黑龙江省林口县奎山乡奎山村, √, 　, 　, 哈尔滨铁路局, 乘降所
拉古, 黑龙江省海林市横道河子镇, √, 　, 　, 哈尔滨铁路局, 乘降所
拉哈, 黑龙江省讷河市拉哈镇东岗街拉哈车站, √, √, √, 哈尔滨铁路局, 乘降所
拉林, 黑龙江省五常市拉林镇铁路街, 　, 　, 　, 哈尔滨铁路局, 乘降所
喇嘛甸, 黑龙江省大庆市让湖路区喇嘛甸镇, √, 　, 　, 哈尔滨铁路局, 乘降所
兰岗, 黑龙江省宁安市兰岗乡, √, 　, 　, 哈尔滨铁路局, 乘降所
兰棱, 黑龙江省双城市兰棱镇, √, 　, 　, 哈尔滨铁路局, 乘降所
朗乡, 黑龙江省伊春市铁力市朗乡镇, √, √, √, 哈尔滨铁路局, 乘降所
老莱, 黑龙江省讷河市老莱镇老莱车站, √, 　, 　, 哈尔滨铁路局, 乘降所
梨树镇, 黑龙江省鸡西市梨树区, √, 　, 　, 哈尔滨铁路局, 乘降所
李家, 黑龙江省黑河市北安市李家村, √, 　, 　, 哈尔滨铁路局, 乘降所
里木店, 黑龙江省肇东市里木店镇, √, 　, 　, 哈尔滨铁路局, 乘降所
莲江口, 黑龙江省佳木斯市郊区莲江口镇镇北社区87委, √, 　, 　, 哈尔滨铁路局, 乘降所
林海, 黑龙江省大兴安岭地区新林区新林镇, √, 　, 　, 哈尔滨铁路局, 乘降所
林口, 黑龙江省林口县林口镇站前大街329号, √, √, √, 哈尔滨铁路局, 乘降所
林源, 黑龙江省大庆市大同区林源镇北街1号, √, 　, 　, 哈尔滨铁路局, 乘降所
六合镇, 黑龙江省讷河市六合镇六合镇车站, √, 　, 　, 哈尔滨铁路局, 乘降所
龙江, 黑龙江省龙江县正阳街8号, √, √, √, 哈尔滨铁路局, 乘降所
龙镇, 黑龙江省黑河市五大连池市龙镇镇, √, 　, 　, 哈尔滨铁路局, 乘降所
麻山, 黑龙江省鸡西市麻山区东麻山村, √, 　, 　, 哈尔滨铁路局, 乘降所
马莲河, 黑龙江省宁安市马河乡, √, 　, 　, 哈尔滨铁路局, 乘降所
马桥河, 黑龙江省穆棱市马桥河镇, √, 　, 　, 哈尔滨铁路局, 乘降所
满归, 内蒙古自治区呼伦贝尔盟根河市满归镇, √, √, √, 哈尔滨铁路局, 乘降所
满洲里, 内蒙古自治区满洲里市南区一道街铁路车站, √, √, √, 哈尔滨铁路局, 乘降所
帽儿山, 黑龙江省尚志市帽儿山镇市场街, √, 　, 　, 哈尔滨铁路局, 乘降所
美溪, 黑龙江省伊春市美溪区曙光街426号, √, 　, 　, 哈尔滨铁路局, 乘降所
孟家岗, 黑龙江省佳木斯市桦南县孟家岗镇, √, 　, 　, 哈尔滨铁路局, 乘降所
密山, 黑龙江省密山市密山镇光复街, √, √, √, 哈尔滨铁路局, 乘降所
免渡河, 内蒙古自治区牙克石市免渡河镇站前路免渡河站, √, √, √, 哈尔滨铁路局, 乘降所
庙台子, 黑龙江省哈尔滨市松北区松浦镇, √, 　, 　, 哈尔滨铁路局, 乘降所
磨刀石, 黑龙江省穆棱市磨刀石镇, √, 　, 　, 哈尔滨铁路局, 乘降所
莫尔道嘎, 内蒙古自治区额尔古纳市莫尔道嘎镇, √, √, √, 哈尔滨铁路局, 乘降所
漠河, 黑龙江省大兴安岭地区漠河县, √, √, √, 哈尔滨铁路局, 乘降所
牡丹江, 黑龙江省牡丹江市光华街643号, √, √, √, 哈尔滨铁路局, 乘降所
穆棱, 黑龙江省穆棱市穆棱镇, √, 　, 　, 哈尔滨铁路局, 乘降所
南岔, 黑龙江省伊春市南岔区站前街, √, √, √, 哈尔滨铁路局, 乘降所
南木, 内蒙古自治区扎兰屯市南木乡南木车站, √, 　, 　, 哈尔滨铁路局, 乘降所
讷河, 黑龙江省讷河市铁路街讷河车站, √, √, √, 哈尔滨铁路局, 乘降所
嫩江, 黑龙江省嫩江县站前大街嫩江车站, √, √, √, 哈尔滨铁路局, 乘降所
碾子山, 黑龙江省齐齐哈尔市碾子山区沿河路53号, √, √, √, 哈尔滨铁路局, 乘降所
宁安, 黑龙江省宁安市宁安镇, √, √, √, 哈尔滨铁路局, 乘降所
牛家, 黑龙江省五常市牛家镇, √, 　, 　, 哈尔滨铁路局, 乘降所
裴德, 黑龙江省密山市裴德镇, √, 　, 　, 哈尔滨铁路局, 乘降所
平房, 黑龙江省哈尔滨市平房区联盟大街49号, √, 　, 　, 哈尔滨铁路局, 乘降所
平山, 黑龙江省哈尔滨市阿城区平山镇, √, 　, 　, 哈尔滨铁路局, 乘降所
平洋, 黑龙江省泰来县平洋镇平洋车站, √, 　, 　, 哈尔滨铁路局, 乘降所
七台河, 黑龙江省七台河市新兴区兴华街４９号, √, √, √, 哈尔滨铁路局, 乘降所
齐齐哈尔, 黑龙江省齐齐哈尔市站前大街130号, √, √, √, 哈尔滨铁路局, 乘降所
前锋, 黑龙江省抚远市, √, 　, 　, 哈尔滨铁路局, 乘降所
前进镇, 黑龙江省同江市前进农场, √, 　, 　, 哈尔滨铁路局, 乘降所
秦家, 黑龙江省绥化市北林区秦家镇, √, 　, 　, 哈尔滨铁路局, 乘降所
青山, 黑龙江省林口县青山乡青山村, √, 　, 　, 哈尔滨铁路局, 乘降所
庆安, 黑龙江省绥化市庆安县庆安镇, √, √, √, 哈尔滨铁路局, 乘降所
三间房, 黑龙江省齐齐哈尔市昂昂溪区榆树屯镇友谊社区三站街, √, 　, 　, 哈尔滨铁路局, 乘降所
山市, 黑龙江省海林市山市镇, √, 　, 　, 哈尔滨铁路局, 乘降所
尚家, 黑龙江省肇东市尚家镇, √, 　, 　, 哈尔滨铁路局, 乘降所
尚志, 黑龙江省尚志市站前路, √, √, √, 哈尔滨铁路局, 乘降所
神树, 黑龙江省伊春市铁力市桃山镇神树村, √, 　, 　, 哈尔滨铁路局, 乘降所
沈家, 黑龙江省哈尔滨市呼兰区沈家镇, √, 　, 　, 哈尔滨铁路局, 乘降所
石磷, 鸡西市梨树区石场村, √, 　, 　, 哈尔滨铁路局, 乘降所
石人城, 黑龙江省哈尔滨市呼兰区石人镇, √, 　, 　, 哈尔滨铁路局, 乘降所
石头, 黑龙江省宁安市石岩镇, √, 　, 　, 哈尔滨铁路局, 乘降所
双城堡, 黑龙江省双城市车站街, √, √, √, 哈尔滨铁路局, 乘降所
双城北站, 黑龙江省哈尔滨市双城区双城镇光明村温家屯双城北站, √, 　, 　, 哈尔滨铁路局, 乘降所
双丰, 黑龙江省伊春市铁力市双丰镇, √, ？, ？, 哈尔滨铁路局, 乘降所
双鸭山, 黑龙江省双鸭山市尖山区站前路, √, √, √, 哈尔滨铁路局, 乘降所
四方台, 黑龙江省绥化市北林区四方台镇, √, 　, 　, 哈尔滨铁路局, 乘降所
宋, 黑龙江省肇东市宋站镇, √, 　, 　, 哈尔滨铁路局, 乘降所
绥芬河, 黑龙江省绥芬河市站前路36号, √, √, √, 哈尔滨铁路局, 乘降所
绥化, 黑龙江省绥化市北林区, √, √, √, 哈尔滨铁路局, 乘降所
绥棱, 黑龙江省绥化市绥棱县绥棱镇, √, √, √, 哈尔滨铁路局, 乘降所
绥阳, 黑龙江省东宁县绥阳镇, √, √, √, 哈尔滨铁路局, 乘降所
孙家, 黑龙江省哈尔滨市通乡街65号, √, 　, 　, 哈尔滨铁路局, 乘降所
孙吴, 黑龙江省黑河市孙吴县孙吴镇, √, √, √, 哈尔滨铁路局, 乘降所
塔尔气, 内蒙古自治区牙克石市塔尔气镇, √, √, √, 哈尔滨铁路局, 乘降所
塔哈, 黑龙江省富裕县塔哈乡塔哈车站, √, 　, 　, 哈尔滨铁路局, 乘降所
塔河, 黑龙江省大兴安岭地区塔河县, √, √, √, 哈尔滨铁路局, 乘降所
苔青, 黑龙江省伊春市西林区苔青街道办事处铁西街, √, 　, 　, 哈尔滨铁路局, 乘降所
太平镇, 黑龙江省双鸭山市集贤县大平镇, √, 　, 　, 哈尔滨铁路局, 乘降所
泰康, 黑龙江省大庆市杜尔伯特蒙古族自治县向阳街, √, √, √, 哈尔滨铁路局, 乘降所
泰来, 黑龙江省泰来县铁东街泰来车站, √, √, √, 哈尔滨铁路局, 乘降所
汤池, 黑龙江省泰来县汤池镇汤池车站, √, 　, 　, 哈尔滨铁路局, 乘降所
汤旺河, 黑龙江省伊春市汤旺河区向阳街125号, 　, 　, 　, 哈尔滨铁路局, 乘降所
汤原, 黑龙江省佳木斯市汤原县铁路街, √, √, √, 哈尔滨铁路局, 乘降所
桃山, 黑龙江省伊春市铁力市桃山镇, √, 　, 　, 哈尔滨铁路局, 乘降所
铁力, 黑龙江省伊春市铁力市铁力镇, √, √, √, 哈尔滨铁路局, 乘降所
通北, 黑龙江省黑河市、北安市通北镇, √, √, √, 哈尔滨铁路局, 乘降所
图里河, 内蒙古自治区呼伦贝尔牙克石市图里镇, √, √, √, 哈尔滨铁路局, 乘降所
图强, 黑龙江省大兴安岭地区漠河县图强镇, √, 　, 　, 哈尔滨铁路局, 乘降所
团结, 黑龙江省讷河市兴旺乡团结车站, √, 　, 　, 哈尔滨铁路局, 乘降所
完工, 陈巴尔虎旗呼和诺尔镇完工站, √, 　, 　, 哈尔滨铁路局, 乘降所
万发屯, 黑龙江省绥化市北林区万发镇, √, 　, 　, 哈尔滨铁路局, 乘降所
万乐, 黑龙江省哈尔滨市松北区乐业乡, √, 　, 　, 哈尔滨铁路局, 乘降所
王岗, 黑龙江省哈尔滨市王岗镇, √, 　, 　, 哈尔滨铁路局, 乘降所
王兆屯, 黑龙江省哈尔滨市香坊区文政街99号, √, 　, 　, 哈尔滨铁路局, 乘降所
苇河, 黑龙江省尚志市苇河镇, √, √, √, 哈尔滨铁路局, 乘降所
卫星, 黑龙江省虎林市虎林镇850农场, √, 　, 　, 哈尔滨铁路局, 乘降所
温春, 黑龙江省牡丹江市西安区温春镇, √, 　, 　, 哈尔滨铁路局, 乘降所
倭肯, 黑龙江省七台河市勃利县倭肯镇, √, 　, 　, 哈尔滨铁路局, 乘降所
卧里屯, 黑龙江省大庆市龙凤区卧里屯大街1号, √, √, √, 哈尔滨铁路局, 乘降所
